runid,site_id,variable,ensemble_variance
0457344866426f5e200dc92fc2b1e303,0633a0f257ea79ca,AbvGrndWood,0.015146455036992195
0457344866426f5e200dc92fc2b1e303,0633a0f257ea79ca,NPP,1.1136968760966544e-18
0457344866426f5e200dc92fc2b1e303,0633a0f257ea79ca,Qle,0.08272593193635207
0457344866426f5e200dc92fc2b1e303,0633a0f257ea79ca,SoilMoistFrac,5.495219849378673e-5
0457344866426f5e200dc92fc2b1e303,0633a0f257ea79ca,TotSoilCarb,0.27033939437622756
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,AbvGrndWood,0.008958601924133466
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,NPP,1.7223688644010921e-18
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,Qle,0.0731096135409188
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,SoilMoistFrac,2.048901704066897e-4
082846665954a88897908f18fb03a1ae,bfee4301f7c99060,TotSoilCarb,4.498300942315526
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,AbvGrndWood,0.10152681304270486
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,NPP,1.060652087116921e-18
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,Qle,0.004668770619746392
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,SoilMoistFrac,1.3693403198371586e-5
22a0e4594b9893e8564298414dfb88b6,59d94ec22335aba5,TotSoilCarb,0.08937961806743999
39089dd38f528ba464d64746b7334494,3109e15b126d31ab,AbvGrndWood,0.4032908871344872
39089dd38f528ba464d64746b7334494,3109e15b126d31ab,NPP,1.6746062798087525e-19
39089dd38f528ba464d64746b7334494,3109e15b126d31ab,Qle,5.98430303441909e-4
39089dd38f528ba464d64746b7334494,3109e15b126d31ab,SoilMoistFrac,1.1375502704097197e-6
39089dd38f528ba464d64746b7334494,3109e15b126d31ab,TotSoilCarb,0.19316811200861952
4c95254f38c2a019009aee04f0a63846,2c9f5faf24bff9fd,AbvGrndWood,5.88437904187781e-6
4c95254f38c2a019009aee04f0a63846,2c9f5faf24bff9fd,NPP,1.564409157686081e-18
4c95254f38c2a019009aee04f0a63846,2c9f5faf24bff9fd,Qle,0.04830799184202827
4c95254f38c2a019009aee04f0a63846,2c9f5faf24bff9fd,SoilMoistFrac,2.2755104080962135e-4
4c95254f38c2a019009aee04f0a63846,2c9f5faf24bff9fd,TotSoilCarb,1.295913449901003
7e6fa2fdadae385ed171e2b09c2fd718,e07417e56c78efbc,AbvGrndWood,1.7184219995084165e-6
7e6fa2fdadae385ed171e2b09c2fd718,e07417e56c78efbc,NPP,3.3643410696302213e-18
7e6fa2fdadae385ed171e2b09c2fd718,e07417e56c78efbc,Qle,0.009600800784824252
7e6fa2fdadae385ed171e2b09c2fd718,e07417e56c78efbc,SoilMoistFrac,2.8981836537009354e-6
7e6fa2fdadae385ed171e2b09c2fd718,e07417e56c78efbc,TotSoilCarb,1.9946304870639215
afc6188434cf40287da26467d94c54a7,dc9179b07c8ed8a7,AbvGrndWood,5.622123959737087e-7
afc6188434cf40287da26467d94c54a7,dc9179b07c8ed8a7,NPP,2.1012784252338325e-18
afc6188434cf40287da26467d94c54a7,dc9179b07c8ed8a7,Qle,0.001163608986183837
afc6188434cf40287da26467d94c54a7,dc9179b07c8ed8a7,SoilMoistFrac,3.539193111412567e-6
afc6188434cf40287da26467d94c54a7,dc9179b07c8ed8a7,TotSoilCarb,20.84948530543586
bb523eef65a549b58d61393d57c00566,b3ed7ece68eabba6,AbvGrndWood,0.24838417304140945
bb523eef65a549b58d61393d57c00566,b3ed7ece68eabba6,NPP,3.675145503310755e-18
bb523eef65a549b58d61393d57c00566,b3ed7ece68eabba6,Qle,0.08582113690003289
bb523eef65a549b58d61393d57c00566,b3ed7ece68eabba6,SoilMoistFrac,5.353625041366113e-5
bb523eef65a549b58d61393d57c00566,b3ed7ece68eabba6,TotSoilCarb,2.308652599279087
bfc26ac6b3ec58ff6ee9c6cb68ca7d67,629195fe5cadee05,AbvGrndWood,0.0057347304104384735
bfc26ac6b3ec58ff6ee9c6cb68ca7d67,629195fe5cadee05,NPP,2.3279560962363517e-18
bfc26ac6b3ec58ff6ee9c6cb68ca7d67,629195fe5cadee05,Qle,0.0013090015478517793
bfc26ac6b3ec58ff6ee9c6cb68ca7d67,629195fe5cadee05,SoilMoistFrac,2.8222547247521485e-6
bfc26ac6b3ec58ff6ee9c6cb68ca7d67,629195fe5cadee05,TotSoilCarb,4.647290216101782
cbb940600bee116ac68980e32f160f5d,9c19b1bcbd391e00,AbvGrndWood,0.37146409683389814
cbb940600bee116ac68980e32f160f5d,9c19b1bcbd391e00,NPP,1.5586906980874535e-17
cbb940600bee116ac68980e32f160f5d,9c19b1bcbd391e00,Qle,0.011310622110436541
cbb940600bee116ac68980e32f160f5d,9c19b1bcbd391e00,SoilMoistFrac,3.4432164737503317e-6
cbb940600bee116ac68980e32f160f5d,9c19b1bcbd391e00,TotSoilCarb,3.4233229828864205
