param,poolinitcond,met
1,11,6
2,16,3
3,6,8
4,8,4
5,18,9
6,13,2
7,3,7
8,14,9
9,4,4
10,9,6
11,19,1
12,17,7
13,7,2
14,2,10
15,12,5
16,7,8
17,17,3
18,12,6
19,2,1
20,5,7
21,15,2
22,20,10
23,10,5
24,19,1
25,9,6
26,4,4
27,14,9
28,11,5
29,1,10
30,6,3
31,16,8
32,1,5
33,11,10
34,16,2
35,6,7
36,9,1
37,19,6
38,14,3
39,4,8
40,15,8
41,5,3
42,10,10
43,20,5
44,18,9
45,8,4
46,3,7
47,13,2
48,7,7
49,17,2
50,12,9
51,2,4
52,5,8
53,15,3
54,20,6
55,10,1
56,18,5
57,8,10
58,3,3
59,13,8
60,11,1
61,1,6
62,6,4
63,16,9
64,14,5
65,4,10
66,9,3
67,19,8
68,16,2
69,6,7
70,1,4
71,11,9
72,3,7
73,13,2
74,18,10
75,8,5
76,10,9
77,20,4
78,15,6
79,5,1
80,19,8
81,9,3
82,4,10
83,14,5
84,12,9
85,2,4
86,7,6
87,17,1
88,6,4
89,16,9
90,11,2
91,1,7
92,3,1
93,13,6
94,18,3
95,8,8
96,13,1
97,3,6
98,8,4
99,18,9
100,16,5
101,6,10
102,1,2
103,11,7
104,2,8
105,12,3
106,17,6
107,7,1
108,10,7
109,20,2
110,15,9
111,5,4
112,20,9
113,10,4
114,5,7
115,15,2
116,13,8
117,3,3
118,8,10
119,18,5
120,7,1
121,17,6
122,12,3
123,2,8
124,4,5
125,14,10
126,19,2
127,9,7
128,17,9
129,7,4
130,2,7
131,12,2
132,15,8
133,5,3
134,10,10
135,20,5
136,9,1
137,19,6
138,14,4
139,4,9
140,1,5
141,11,10
142,16,2
143,6,7
144,12,1
145,2,6
146,7,4
147,17,9
148,19,5
149,9,10
150,4,3
151,14,8
152,5,8
153,15,3
154,20,6
155,10,1
156,8,7
157,18,2
158,13,10
159,3,5
160,18,7
161,8,2
162,3,10
163,13,5
164,15,9
165,5,4
166,10,6
167,20,1
168,9,4
169,19,9
170,14,2
171,4,7
172,1,1
173,11,6
174,16,3
175,6,8
176,11,5
177,1,10
178,6,3
179,16,8
180,18,2
181,8,7
182,3,4
183,13,9
184,4,7
185,14,2
186,19,10
187,9,5
188,7,8
189,17,3
190,12,6
191,2,1
192,10,7
193,20,2
194,15,9
195,5,4
196,3,8
197,13,3
198,18,6
199,8,1
200,17,5
201,7,10
202,2,2
203,12,7
204,14,1
205,4,6
206,9,4
207,19,9
208,3,5
209,13,10
210,18,2
211,8,7
212,6,1
213,16,6
214,11,3
215,1,8
216,12,8
217,2,3
218,7,10
219,17,5
220,20,9
221,10,4
222,5,6
223,15,1
224,9,9
225,19,4
226,14,6
227,4,1
228,2,7
229,12,2
230,17,10
231,7,5
232,16,2
233,6,7
234,1,4
235,11,9
236,13,5
237,3,10
238,8,3
239,18,8
240,4,1
241,14,6
