parameter,pft,response_var,mean_abs_elasticity,mean_variance_explained,mean_cv,n_sites
fracLeafFall,grass,AbvGrndWood,70.57220156702613,0.5748215628041322,0.002903402909558214,48
leafC,grass,AbvGrndWood,13.733087449151318,2.372567440616419,0.08270831696914949,48
Amax,grass,AbvGrndWood,8.080400260082985,0.3639179158028248,0.09358925848729428,48
AmaxFrac,grass,AbvGrndWood,6.0332289197193765,3.010881807748199,0.11567497255742348,48
veg_respiration_Q10,grass,AbvGrndWood,4.291895687274475,1.095052974541145,0.17439654055315706,48
dVpdExp,grass,AbvGrndWood,3.865420611238043,5.454285995145657,0.28697077347762856,48
GDD,grass,AbvGrndWood,3.4824451125327953,1.987579763347994,0.46532505164335386,48
coarse_root_respiration_Q10,grass,AbvGrndWood,2.911206619944526,2.676706155519942,0.32746213648895234,48
SLA,grass,AbvGrndWood,2.5315716709894525,2.4532687023211754,0.49163032965929954,48
fine_root_respiration_Q10,grass,AbvGrndWood,1.896894703116376,5.577729935138572,0.3253878667926847,48
half_saturation_PAR,grass,AbvGrndWood,1.3304565799895127,7.436162954310688,0.4282583546535079,48
growth_resp_factor,grass,AbvGrndWood,1.282075921415426,2.181469365047832,0.4132613073465301,48
dVPDSlope,grass,AbvGrndWood,1.2799361256880015,3.9079368777848456,0.5266968206615892,48
leaf_respiration_rate_m2,grass,AbvGrndWood,1.2677068529021893,5.502960791142225,0.3832377053035218,48
Vm_low_temp,grass,AbvGrndWood,0.9956709622524258,11.279659187345802,0.0037438905433444156,48
leafGrowth,grass,AbvGrndWood,0.8167659951614027,9.389781754074992,0.5781871273965496,48
psnTOpt,grass,AbvGrndWood,0.7507137817292142,0.005029143242923723,0.007610358515748966,48
leaf_turnover_rate,grass,AbvGrndWood,0.4819083898200696,3.570354722201957,0.8761489304544976,48
root_turnover_rate,grass,AbvGrndWood,0.19653473169683164,2.263706350499437,3.460043964015096,48
extinction_coefficient,grass,AbvGrndWood,0.19312725552236445,0.8597477714049139,0.1383292516674499,48
stem_respiration_rate,grass,AbvGrndWood,0.04002295548059399,13.907551288213647,0.5736585334331054,48
root_respiration_rate,grass,AbvGrndWood,0.003834365406587735,14.128827541744682,1.1959692923393643,48
fracLeafFall,grass,NPP,46.810260277786725,0.500104923558579,0.002903402909558214,48
leafC,grass,NPP,8.598436786266106,2.400106510907121,0.08270831696914949,48
AmaxFrac,grass,NPP,4.182644748635861,2.7677374216917334,0.11567497255742348,48
veg_respiration_Q10,grass,NPP,3.2867276989184413,1.3553554477910432,0.17439654055315706,48
Amax,grass,NPP,3.151852381557843,0.32928488189222743,0.09358925848729428,48
dVpdExp,grass,NPP,2.4148228730156833,4.5328512532763,0.28697077347762856,48
SLA,grass,NPP,1.9619101754845263,4.44981777488219,0.49163032965929954,48
coarse_root_respiration_Q10,grass,NPP,1.4070640932966967,1.3315580505739064,0.32746213648895234,48
GDD,grass,NPP,1.3504474712100945,1.7485847174689275,0.46532505164335386,48
psnTOpt,grass,NPP,1.2150480669351449,0.09466600309333803,0.007610358515748966,48
half_saturation_PAR,grass,NPP,1.0777470786765881,6.914049827743073,0.4282583546535079,48
leaf_respiration_rate_m2,grass,NPP,1.022280604095641,3.425066504005053,0.3832377053035218,48
Vm_low_temp,grass,NPP,0.9981917881449521,9.93654609518551,0.0037438905433444156,48
stem_respiration_rate,grass,NPP,0.8176896720823406,23.709201143354267,0.5736585334331054,48
growth_resp_factor,grass,NPP,0.8149537712532381,1.8716174430253303,0.4132613073465301,48
leaf_turnover_rate,grass,NPP,0.43663177184740415,4.0262511707412605,0.8761489304544976,48
dVPDSlope,grass,NPP,0.4308356453205305,3.534830542929922,0.5266968206615892,48
leafGrowth,grass,NPP,0.28131414899284474,9.071368125916782,0.5781871273965496,48
extinction_coefficient,grass,NPP,0.13475702278081986,0.7895778801982852,0.1383292516674499,48
root_turnover_rate,grass,NPP,0.12153412810414234,2.2209573916170924,3.460043964015096,48
root_respiration_rate,grass,NPP,0.04252712802338289,12.524261896538816,1.1959692923393643,48
fine_root_respiration_Q10,grass,NPP,0.02184830922056544,2.4662049936092485,0.3253878667926847,48
fracLeafFall,grass,TotSoilCarb,29.00817375051664,0.21436780428647773,0.002903402909558214,48
leafC,grass,TotSoilCarb,10.994394931035322,7.051587578624346,0.08270831696914949,48
Amax,grass,TotSoilCarb,4.098537583915812,7.752873740519626,0.09358925848729428,48
dVpdExp,grass,TotSoilCarb,2.460957422124217,4.712580366140837,0.28697077347762856,48
AmaxFrac,grass,TotSoilCarb,2.2528491101112746,2.4007345725707707,0.11567497255742348,48
coarse_root_respiration_Q10,grass,TotSoilCarb,2.13365018906475,6.253435752532534,0.32746213648895234,48
extinction_coefficient,grass,TotSoilCarb,1.1777458828201144,2.0937913941814554,0.1383292516674499,48
dVPDSlope,grass,TotSoilCarb,1.0516112584378565,4.0519876642221435,0.5266968206615892,48
Vm_low_temp,grass,TotSoilCarb,0.9964117434648528,37.43249009223707,0.0037438905433444156,48
SLA,grass,TotSoilCarb,0.8930160029819463,1.86447821748149,0.49163032965929954,48
GDD,grass,TotSoilCarb,0.8141404126597815,2.2308394229721475,0.46532505164335386,48
leaf_turnover_rate,grass,TotSoilCarb,0.5769369745947956,4.112359467483529,0.8761489304544976,48
leaf_respiration_rate_m2,grass,TotSoilCarb,0.5066604472529902,1.2235182118236039,0.3832377053035218,48
leafGrowth,grass,TotSoilCarb,0.35286259141303,0.5490379994888256,0.5781871273965496,48
fine_root_respiration_Q10,grass,TotSoilCarb,0.3451313720272641,4.623353345529782,0.3253878667926847,48
growth_resp_factor,grass,TotSoilCarb,0.19647788143782108,0.35004435054519867,0.4132613073465301,48
root_turnover_rate,grass,TotSoilCarb,0.16466629381864198,0.6540701109893506,3.460043964015096,48
veg_respiration_Q10,grass,TotSoilCarb,0.1532156675168847,6.767701575311221,0.17439654055315706,48
psnTOpt,grass,TotSoilCarb,0.033910411790079725,3.629698259808836e-6,0.007610358515748966,48
stem_respiration_rate,grass,TotSoilCarb,0.004378748836357184,1.6551402309354268,0.5736585334331054,48
half_saturation_PAR,grass,TotSoilCarb,0.0032073311275462348,0.6238765090120351,0.4282583546535079,48
root_respiration_rate,grass,TotSoilCarb,5.620485855975961e-4,3.381727963413872,1.1959692923393643,48
leafC,temperate.deciduous,AbvGrndWood,449.54633150386815,1.3086299988590446,0.0019040599744806282,52
fracLeafFall,temperate.deciduous,AbvGrndWood,275.03118215877385,2.0416470183513393,0.0028875938407236573,52
GDD,temperate.deciduous,AbvGrndWood,30.034606222425943,7.544656284440753,0.04472189575753702,52
root_respiration_rate,temperate.deciduous,AbvGrndWood,13.942961987533206,8.954735590434327,0.10911585449069874,52
leaf_allocation_fraction,temperate.deciduous,AbvGrndWood,13.89975489534957,10.613280545259196,0.1131392104796751,52
extinction_coefficient,temperate.deciduous,AbvGrndWood,9.7652264716326,1.7313487911046679,0.13850234401098002,52
veg_respiration_Q10,temperate.deciduous,AbvGrndWood,6.8811626834803645,0.18877890468851202,0.11203934295357594,52
dVpdExp,temperate.deciduous,AbvGrndWood,6.5444429990069795,2.150397178209425,0.19405395551812396,52
Amax,temperate.deciduous,AbvGrndWood,5.841594376317084,4.856151638033997,0.23881906569703024,52
wueConst,temperate.deciduous,AbvGrndWood,4.386715668647421,0.7625267931800359,0.2125011807431197,52
fine_root_respiration_Q10,temperate.deciduous,AbvGrndWood,4.09188809294466,0.6453901363765802,0.3277150105646838,52
leaf_turnover_rate,temperate.deciduous,AbvGrndWood,4.060522925566877,2.0033862847523722,0.19243331340208347,52
leafWHC,temperate.deciduous,AbvGrndWood,3.267738911212448,0.6275041176162607,0.2886378381105796,52
leaf_respiration_rate_m2,temperate.deciduous,AbvGrndWood,2.773059507020925,6.517803360414362,0.20989122156627057,52
wood_allocation_fraction,temperate.deciduous,AbvGrndWood,2.5109015993264476,3.1908648900008654,0.22785864027208066,52
root_allocation_fraction,temperate.deciduous,AbvGrndWood,2.4914091913572163,8.461589444677738,0.23738709480875567,52
SLA,temperate.deciduous,AbvGrndWood,1.9937585300103633,0.08579138420528075,0.06401405153954476,52
coarse_root_respiration_Q10,temperate.deciduous,AbvGrndWood,1.5120853970201518,9.671937722933606,0.324161378230048,52
wood_turnover_rate,temperate.deciduous,AbvGrndWood,1.4798277943105311,0.20813490482323146,0.22415609628043315,52
leafGrowth,temperate.deciduous,AbvGrndWood,1.4202279301944094,4.318106591970914,0.4756925034638032,52
Vm_low_temp,temperate.deciduous,AbvGrndWood,1.0372343060838078,0.48921939977298307,0.014858807903720163,52
growth_resp_factor,temperate.deciduous,AbvGrndWood,1.0324203077732919,5.313202359434593,0.523906294012516,52
psnTOpt,temperate.deciduous,AbvGrndWood,0.9351787011275481,0.07788620761316319,0.034086260025140466,52
root_turnover_rate,temperate.deciduous,AbvGrndWood,0.8568015832659457,7.589870884137241,1.2679047931547793,52
half_saturation_PAR,temperate.deciduous,AbvGrndWood,0.7921216546396208,0.7818807403357799,0.4281555117378652,52
AmaxFrac,temperate.deciduous,AbvGrndWood,0.6077426384567634,0.04105590766594171,0.04832855500482233,52
stem_respiration_rate,temperate.deciduous,AbvGrndWood,0.5954814059018289,9.310573777273193,0.5828612444389611,52
dVPDSlope,temperate.deciduous,AbvGrndWood,0.33923530504949617,0.5136491434345931,0.5798804473132138,52
leafC,temperate.deciduous,NPP,267.7614725481653,1.301099841061659,0.0019040599744806282,52
fracLeafFall,temperate.deciduous,NPP,91.52621345119385,1.9087039179718144,0.0028875938407236573,52
GDD,temperate.deciduous,NPP,20.85964891191847,7.572517289380522,0.04472189575753702,52
root_respiration_rate,temperate.deciduous,NPP,9.466305567812551,9.07438436001075,0.10911585449069874,52
leaf_allocation_fraction,temperate.deciduous,NPP,9.381352850112897,10.58215922284117,0.1131392104796751,52
extinction_coefficient,temperate.deciduous,NPP,4.8441106179068445,1.8330295222903656,0.13850234401098002,52
Amax,temperate.deciduous,NPP,3.727502647659824,4.969368113350431,0.23881906569703024,52
dVpdExp,temperate.deciduous,NPP,3.6447021677969897,2.1835075709870777,0.19405395551812396,52
leaf_turnover_rate,temperate.deciduous,NPP,2.3730091060608296,1.9595035458460093,0.19243331340208347,52
leaf_respiration_rate_m2,temperate.deciduous,NPP,2.1521049441045914,6.562122160419967,0.20989122156627057,52
root_allocation_fraction,temperate.deciduous,NPP,1.9557516772837569,8.404689347556253,0.23738709480875567,52
wood_allocation_fraction,temperate.deciduous,NPP,1.9293357401631082,3.248343260249925,0.22785864027208066,52
fine_root_respiration_Q10,temperate.deciduous,NPP,1.6577472428620346,0.6112521549735176,0.3277150105646838,52
wueConst,temperate.deciduous,NPP,1.6317263988813013,0.7195922700606482,0.2125011807431197,52
leafWHC,temperate.deciduous,NPP,1.476494470512276,0.618626852341732,0.2886378381105796,52
SLA,temperate.deciduous,NPP,1.3296474390474857,0.09014216599349834,0.06401405153954476,52
coarse_root_respiration_Q10,temperate.deciduous,NPP,1.199116050700994,9.616330361194226,0.324161378230048,52
veg_respiration_Q10,temperate.deciduous,NPP,1.114335920385173,0.1756750342969236,0.11203934295357594,52
Vm_low_temp,temperate.deciduous,NPP,1.08473713725547,0.5331869486735513,0.014858807903720163,52
leafGrowth,temperate.deciduous,NPP,1.044954813199124,4.2393013846095915,0.4756925034638032,52
wood_turnover_rate,temperate.deciduous,NPP,0.8957373054441187,0.21280158367499927,0.22415609628043315,52
growth_resp_factor,temperate.deciduous,NPP,0.7580894257363125,5.238667261645995,0.523906294012516,52
psnTOpt,temperate.deciduous,NPP,0.7426966226325328,0.06799116668594832,0.034086260025140466,52
root_turnover_rate,temperate.deciduous,NPP,0.6383437668205818,7.673201864138929,1.2679047931547793,52
half_saturation_PAR,temperate.deciduous,NPP,0.4756177638956076,0.8056229339976132,0.4281555117378652,52
stem_respiration_rate,temperate.deciduous,NPP,0.46662569849235486,9.235660858955601,0.5828612444389611,52
AmaxFrac,temperate.deciduous,NPP,0.369626954699612,0.0376499407066001,0.04832855500482233,52
dVPDSlope,temperate.deciduous,NPP,0.1404382941086572,0.5248690660846888,0.5798804473132138,52
leafC,temperate.deciduous,TotSoilCarb,299.44743086785707,2.946264939850068,0.0019040599744806282,52
fracLeafFall,temperate.deciduous,TotSoilCarb,97.49427458553225,5.002717255972171,0.0028875938407236573,52
GDD,temperate.deciduous,TotSoilCarb,11.790487174258843,2.5414178258565707,0.04472189575753702,52
dVpdExp,temperate.deciduous,TotSoilCarb,4.143893158244808,4.484767404903431,0.19405395551812396,52
extinction_coefficient,temperate.deciduous,TotSoilCarb,3.840417645639013,7.846217246437257,0.13850234401098002,52
leaf_allocation_fraction,temperate.deciduous,TotSoilCarb,2.8693997717806665,5.64340444019586,0.1131392104796751,52
leaf_turnover_rate,temperate.deciduous,TotSoilCarb,2.044638740413917,4.002217096197744,0.19243331340208347,52
root_respiration_rate,temperate.deciduous,TotSoilCarb,1.8399286370533916,4.781965868737041,0.10911585449069874,52
wueConst,temperate.deciduous,TotSoilCarb,1.7410324433403213,2.403451554110508,0.2125011807431197,52
wood_turnover_rate,temperate.deciduous,TotSoilCarb,1.6616177716223415,2.1912353150557515,0.22415609628043315,52
leaf_respiration_rate_m2,temperate.deciduous,TotSoilCarb,1.5582619113010387,2.287052740440554,0.20989122156627057,52
Amax,temperate.deciduous,TotSoilCarb,1.5085743902816555,3.2818593919246353,0.23881906569703024,52
psnTOpt,temperate.deciduous,TotSoilCarb,1.458313252225141,1.7399146595552213,0.034086260025140466,52
leafWHC,temperate.deciduous,TotSoilCarb,1.2051263465718707,5.436761389740757,0.2886378381105796,52
Vm_low_temp,temperate.deciduous,TotSoilCarb,1.007405970745851,15.843769801740958,0.014858807903720163,52
root_allocation_fraction,temperate.deciduous,TotSoilCarb,0.8328973407138675,0.8842141256399477,0.23738709480875567,52
stem_respiration_rate,temperate.deciduous,TotSoilCarb,0.6567274655443647,3.318106579219787,0.5828612444389611,52
dVPDSlope,temperate.deciduous,TotSoilCarb,0.5123840380651623,1.6689866684173555,0.5798804473132138,52
root_turnover_rate,temperate.deciduous,TotSoilCarb,0.33320375646309636,3.210267813274803,1.2679047931547793,52
coarse_root_respiration_Q10,temperate.deciduous,TotSoilCarb,0.3123208599579421,3.399171562045733,0.324161378230048,52
fine_root_respiration_Q10,temperate.deciduous,TotSoilCarb,0.30020207472112886,0.41379140955894006,0.3277150105646838,52
