parameter,response_var,gradient_var,target,r_squared,adj_r_squared,p_value,slope,intercept,n_sites
fracLeafFall,AbvGrndWood,MAT,elasticity,0.013695789726243954,-0.005271598932866661,0.39936110769397315,2.2913553678773417,54.114478487607705,54
fracLeafFall,AbvGrndWood,MAT,variance_explained,0.013695789726243952,-0.005271598932866661,0.39936110769397293,0.01643859502566099,0.4567509009854649,54
fracLeafFall,AbvGrndWood,MAP,elasticity,0.06490846179519356,0.046925932214332056,0.0630012817643543,-0.0058781365752545705,122.76980954593215,54
fracLeafFall,AbvGrndWood,MAP,variance_explained,0.06490846179519358,0.046925932214332056,0.06300128176435464,-4.217080773273932e-5,0.9492965791645707,54
fracLeafFall,AbvGrndWood,clay,elasticity,0.06362896100507644,0.04562182563978945,0.06574716114644086,-2.176565354318852,149.1832582408119,54
fracLeafFall,AbvGrndWood,clay,variance_explained,0.06362896100507642,0.04562182563978945,0.0657471611464403,-0.015615070847643095,1.138791404983945,54
fracLeafFall,AbvGrndWood,ocd,elasticity,0.10786011710047176,0.0907035808908655,0.015325698790815497,-0.25774106166684035,182.48259236181738,54
fracLeafFall,AbvGrndWood,ocd,variance_explained,0.10786011710047189,0.09070358089086561,0.015325698790815474,-0.0018490806767132197,1.3776868098230797,54
fracLeafFall,AbvGrndWood,twi,elasticity,0.2936476593706411,0.28006396051238425,2.316754777863868e-5,-15.116802623938051,319.1656907656813,54
fracLeafFall,AbvGrndWood,twi,variance_explained,0.293647659370641,0.28006396051238414,2.316754777863863e-5,-0.10845065758960415,2.3582759113709306,54
fracLeafFall,NPP,MAT,elasticity,0.013695789726243945,-0.005271598932866661,0.3993611076939727,0.5011280944329122,43.21089392845716,54
fracLeafFall,NPP,MAT,variance_explained,0.013695789726243955,-0.005271598932866661,0.3993611076939704,0.015786055754039498,0.3867211430422821,54
fracLeafFall,NPP,MAP,elasticity,0.06490846179519365,0.046925932214332056,0.0630012817643545,-0.0012855707246766136,58.22607477218239,54
fracLeafFall,NPP,MAP,variance_explained,0.06490846179519355,0.046925932214332056,0.06300128176435445,-4.049681381059097e-5,0.8597149436079057,54
fracLeafFall,NPP,clay,elasticity,0.0636289610050764,0.04562182563978945,0.06574716114644048,-0.47602308385230446,64.00279600775775,54
fracLeafFall,NPP,clay,variance_explained,0.06362896100507645,0.04562182563978945,0.06574716114644011,-0.014995221831268267,1.0416876657789325,54
fracLeafFall,NPP,ocd,elasticity,0.107860117100472,0.09070358089086583,0.015325698790815577,-0.05636894603994631,71.2854864572112,54
fracLeafFall,NPP,ocd,variance_explained,0.10786011710047187,0.09070358089086561,0.015325698790815388,-0.0017756803796642074,1.2710999832116243,54
fracLeafFall,NPP,twi,elasticity,0.293647659370641,0.28006396051238414,2.3167547778638506e-5,-3.306101968753213,101.17859758460803,54
fracLeafFall,NPP,twi,variance_explained,0.293647659370641,0.28006396051238414,2.3167547778638506e-5,-0.10414564776364703,2.2127640490684546,54
fracLeafFall,TotSoilCarb,MAT,elasticity,0.013695789726243957,-0.005271598932866661,0.39936110769397293,0.7675182294224729,23.4954529149257,54
fracLeafFall,TotSoilCarb,MAT,variance_explained,0.01369578972624395,-0.005271598932866661,0.3993611076939724,0.053662647576730595,-0.17106564087327353,54
fracLeafFall,TotSoilCarb,MAP,elasticity,0.06490846179519354,0.046925932214331945,0.06300128176435434,-0.001968955597106827,46.49241745086042,54
fracLeafFall,TotSoilCarb,MAP,variance_explained,0.06490846179519355,0.046925932214332056,0.06300128176435445,-1.376636622445816e-4,1.4368153916789181,54
fracLeafFall,TotSoilCarb,clay,elasticity,0.06362896100507645,0.04562182563978945,0.06574716114644022,-0.7290678741450167,55.33993349286826,54
fracLeafFall,TotSoilCarb,clay,variance_explained,0.06362896100507646,0.04562182563978945,0.06574716114644033,-0.050974310302960714,2.0554080414573996,54
fracLeafFall,TotSoilCarb,ocd,elasticity,0.10786011710047182,0.09070358089086561,0.015325698790815533,-0.08633360240548735,66.49396325350618,54
fracLeafFall,TotSoilCarb,ocd,variance_explained,0.1078601171004719,0.09070358089086572,0.015325698790815533,-0.006036194975331474,2.8352654378815423,54
fracLeafFall,TotSoilCarb,twi,elasticity,0.2936476593706409,0.28006396051238414,2.3167547778638506e-5,-5.063562704899041,112.27768198592372,54
fracLeafFall,TotSoilCarb,twi,variance_explained,0.29364765937064113,0.28006396051238436,2.3167547778638506e-5,-0.3540296119352568,6.036330205996012,54
leafC,AbvGrndWood,MAT,elasticity,0.013695789726243955,-0.005271598932866661,0.3993611076939727,4.884124009943925,-21.347267858484337,54
leafC,AbvGrndWood,MAT,variance_explained,0.013695789726243931,-0.005271598932866661,0.39936110769397193,-0.011923461425860446,2.458208030917664,54
leafC,AbvGrndWood,MAP,elasticity,0.06490846179519355,0.046925932214332056,0.06300128176435414,-0.012529504756621955,124.99456786612652,54
leafC,AbvGrndWood,MAP,variance_explained,0.06490846179519358,0.046925932214332056,0.0630012817643548,3.058789382631408e-5,2.1009482173462977,54
leafC,AbvGrndWood,clay,elasticity,0.06362896100507644,0.04562182563978945,0.06574716114644048,-4.63944408417485,181.29598700199512,54
leafC,AbvGrndWood,clay,variance_explained,0.06362896100507638,0.04562182563978945,0.06574716114644011,0.011326131863660507,1.963501297914897,54
leafC,AbvGrndWood,ocd,elasticity,0.10786011710047186,0.09070358089086561,0.015325698790815601,-0.5493863262256042,252.274971569636,54
leafC,AbvGrndWood,ocd,variance_explained,0.10786011710047176,0.0907035808908655,0.015325698790815518,0.001341199907150059,1.7902224903301724,54
leafC,AbvGrndWood,twi,elasticity,0.2936476593706411,0.28006396051238425,2.3167547778638506e-5,-32.22212481059003,543.6209635648752,54
leafC,AbvGrndWood,twi,variance_explained,0.2936476593706411,0.28006396051238425,2.316754777863868e-5,0.07866288027415198,1.0789684988136563,54
leafC,NPP,MAT,elasticity,0.013695789726243962,-0.005271598932866661,0.39936110769397293,2.9044193188762444,-12.262635017213647,54
leafC,NPP,MAT,variance_explained,0.013695789726243936,-0.005271598932866661,0.39936110769396804,-0.01231647944734528,2.48856996397924,54
leafC,NPP,MAP,elasticity,0.06490846179519358,0.046925932214332056,0.06300128176435464,-0.007450862344402748,74.7617840952022,54
leafC,NPP,MAP,variance_explained,0.06490846179519356,0.046925932214332056,0.06300128176435504,3.15961239940177e-5,2.119534245738001,54
leafC,NPP,clay,elasticity,0.06362896100507645,0.04562182563978945,0.06574716114644041,-2.758916644927338,108.24228726945378,54
leafC,NPP,clay,variance_explained,0.0636289610050763,0.04562182563978934,0.06574716114643998,0.011699460864119783,1.97755683684513,54
leafC,NPP,ocd,elasticity,0.10786011710047194,0.09070358089086572,0.015325698790815533,-0.32670101253928097,150.45103004354283,54
leafC,NPP,ocd,variance_explained,0.10786011710047196,0.09070358089086572,0.015325698790815563,0.0013854081882101528,1.798566458459792,54
leafC,NPP,twi,elasticity,0.29364765937064113,0.28006396051238436,2.316754777863842e-5,-19.1613811616126,323.7043966462986,54
