parameter,response_var,gradient_var,r_squared,adj_r_squared,p_value,slope,intercept,n_sites
half_saturation_PAR,TotSoilCarb,ocd,0.6225971461258027,0.6016303209105696,3.5485440411547715e-5,-7.953338205135493e-5,0.04149101990626595,20
leafWHC,TotSoilCarb,ocd,0.5980551688351402,0.5478120649395327,0.008693447004300426,-7.989756237529793e-5,0.04198636759089545,10
wood_turnover_rate,TotSoilCarb,ocd,0.5976454055929572,0.5473510812920769,0.008731145002377984,-9.123607242278032e-4,0.467028239977279,10
root_allocation_fraction,TotSoilCarb,ocd,0.5795792141017966,0.5270266158645212,0.010525544563972478,-7.649659988337256e-4,0.39958012547014105,10
wood_allocation_fraction,TotSoilCarb,ocd,0.5790910235022835,0.5264774014400689,0.010577766327057113,-3.129721046038262e-4,0.1623746561888361,10
leaf_allocation_fraction,TotSoilCarb,ocd,0.577213504519223,0.524365192584126,0.010780511971830255,-5.049262030432886e-4,0.2689744612229951,10
wueConst,TotSoilCarb,ocd,0.5468148527608652,0.4901667093559733,0.01451339988364204,-0.0011498587884511181,0.6016940291816575,10
leaf_respiration_rate_m2,TotSoilCarb,ocd,0.5396045191878052,0.5140269924760166,2.2563292733948618e-4,-5.765111891054968e-5,0.030746516074590256,20
growth_resp_factor,TotSoilCarb,ocd,0.5114152326926688,0.4842716345089281,3.9397540490703403e-4,-5.323007570352506e-4,0.2697369431106768,20
root_turnover_rate,TotSoilCarb,ocd,0.510233734917863,0.48302449796885527,4.030231235340382e-4,-0.001346000763060913,0.6612789092969483,20
extinction_coefficient,TotSoilCarb,ocd,0.49769075654237593,0.4697846874613968,5.113120700379797e-4,-4.4375984709553916e-5,0.0232937053862834,20
leaf_respiration_rate_m2,AbvGrndWood,MAT,0.47299905721182106,0.4437212270569222,8.043266946993224e-4,0.003887970044316518,-0.038754310773452386,20
fine_root_respiration_Q10,TotSoilCarb,ocd,0.41592209134145103,0.3834733186381982,0.002139385446922849,-9.10764896692456e-5,0.04553718126989131,20
half_saturation_PAR,TotSoilCarb,MAT,0.35822755466525563,0.32257352992443644,0.005303443654205166,0.0018871832416137912,-0.016699991032836564,20
half_saturation_PAR,TotSoilCarb,clay,0.3346696741589272,0.29770687827886766,0.007536011652546541,-0.00068761523728580725,0.032479403897513935,20
root_turnover_rate,AbvGrndWood,twi,0.31612792349757446,0.2781350303585508,0.009868786937454953,0.008909805256233852,0.4994497287486471,20
stem_respiration_rate,TotSoilCarb,ocd,0.30554510935234486,0.2669642820941418,0.011482257583828719,-5.656591221783744e-5,0.030767683957829965,20
root_respiration_rate,AbvGrndWood,twi,0.3033486528361779,0.2646458002159656,0.011846290718787752,1.5617590301218783e-4,0.008950679338201147,20
dVpdExp,TotSoilCarb,ocd,0.2928353146063738,0.25354838764006127,0.013741448154460876,-7.146447070753257e-5,0.04475742285662393,20
Vm_low_temp,TotSoilCarb,MAP,0.27894501729348103,0.23888640714311893,0.016677756662799078,2.5599723710629146e-4,-0.5765805360562793,20
fine_root_respiration_Q10,TotSoilCarb,MAT,0.2785281894565163,0.23844642220410062,0.01677427923590538,0.002331436313622119,-0.024085745096485266,20
leaf_respiration_rate_m2,TotSoilCarb,MAT,0.2771652181218083,0.23700773023968646,0.017093537464287042,0.0012924924215185838,-0.010111334314691047,20
leaf_respiration_rate_m2,AbvGrndWood,ocd,0.2756521663160181,0.23541062000024127,0.0174545719740379,-9.488220925102508e-5,0.05935611756396479,20
root_turnover_rate,TotSoilCarb,MAT,0.2619271660947764,0.22092311976670842,0.021070278847649164,0.03016752510065282,-0.29249024661582573,20
growth_resp_factor,TotSoilCarb,MAT,0.2579438924707151,0.2167185531635326,0.022243894200444553,0.011825555969675236,-0.10561240203375863,20
SLA,AbvGrndWood,MAT,0.24920227500098294,0.2074912902788153,0.025037529050783807,0.005029709279064946,-0.04752566137123634,20
root_respiration_rate,TotSoilCarb,MAT,0.23798354267409202,0.19564929504487494,0.029106871874650185,5.421250621263251e-4,-0.0057042073194769225,20
extinction_coefficient,TotSoilCarb,MAT,0.23569681501824877,0.19323552696370705,0.030009362767283485,9.552867675618051e-4,-0.007461970021881219,20
Vm_low_temp,AbvGrndWood,MAP,0.22859767941617556,0.18574199493929644,0.032982432139169106,2.013051431634854e-5,-0.03476821663170734,20
root_turnover_rate,TotSoilCarb,clay,0.20481436063208405,0.1606373806671998,0.045111634530614717,-0.010056163994304004,0.47176126750527475,20
