"runid","variable","parameters","Si_original","Ti_original","Si_low.ci","Ti_low.ci","Si_high.ci","Ti_high.ci","Si_bias","Ti_bias","Si_std.error","Ti_std.error"
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","dummy",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.Amax",-0.0079170195439911,0.000485477027296545,-0.0123315304755158,-7.10245379427821e-05,0.00115824770973657,0.000756177842432378,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.AmaxFrac",-0.0124956110385141,0.0012093729375926,-0.0194631335031351,-0.000176929389576557,0.00182808856119382,0.00188371635983976,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.GDD",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.SLA",0.0557300614914105,0.0240560487051487,-0.00815322176827222,-0.00351936270502166,0.0868050088628746,0.0374696432261791,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.Vm_low_temp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.coarse_root_respiration_Q10",0.00454368463219175,0.000159904840458488,-0.000664734031507561,-2.33938307475074e-05,0.00707723218335765,0.000249067392386691,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.dVPDSlope",-0.00901310947992437,0.000629208444548629,-0.0140387975062163,-9.20522218994008e-05,0.00131860397144665,0.000980053549986794,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.dVpdExp",-0.0129539863775743,0.00129972694323313,-0.0201770978215806,-0.000190148040802207,0.00189514816408051,0.00202445154028868,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.extinction_coefficient",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.fine_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.fracLeafFall",0.00581624467149597,0.000262017672944038,-0.000850907596298758,-3.83327801468265e-05,0.00905936861985465,0.00040811809306262,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.growth_resp_factor",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.half_saturation_PAR",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.leafC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.leafGrowth",-0.273666932813761,0.580082681117431,-0.426262952034166,-0.0848651987188867,0.0400370488415366,0.903535379794252,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.leaf_respiration_rate_m2",-0.138909856694015,0.149455319201437,-0.216365656501619,-0.0218650819555445,0.0203222971070968,0.232791243373812,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.leaf_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.psnTOpt",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.root_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.root_turnover_rate",-0.000123928107517398,1.18955598208428e-07,-0.000193030120253232,-1.74030199647326e-08,1.8130490382957e-05,1.8528495179146e-07,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.stem_respiration_rate",0.0410326729528192,0.0130408190053979,-0.00600301656550087,-0.00190785164317996,0.0639123920558723,0.0203123481124667,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","grass.veg_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","ic_ensemble",-0.138485734346994,0.148544072519397,-0.21570504456065,-0.0217317679758816,0.0202602486639477,0.231371887747891,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","met_ensemble",-0.0277046721225248,0.00594499206689192,-0.0431527302281813,-0.000869743141041742,0.00405315066567848,0.00925990525124057,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.Amax",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.AmaxFrac",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.GDD",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.SLA",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.Vm_low_temp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.coarse_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.dVPDSlope",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.dVpdExp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.extinction_coefficient",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.fine_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.fracLeafFall",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.growth_resp_factor",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.half_saturation_PAR",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.leafC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.leafGrowth",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.leafWHC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.leaf_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.leaf_respiration_rate_m2",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.leaf_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.psnTOpt",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.root_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.root_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.root_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.stem_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.veg_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.wood_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.wood_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","AbvGrndWood","temperate.deciduous.wueConst",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","dummy",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.Amax",0.0705291572380677,0.00341385661628097,0.0657045018079758,0.00318032650609265,0.0729888171519136,0.00353291271448927,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.AmaxFrac",0.114124360308751,0.00893849908811052,0.106317507990768,0.00832704731623187,0.118104375457624,0.00925022361110124,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.GDD",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.SLA",0.0503446401879485,0.00173945969562077,0.046900737677687,0.00162046928095333,0.0521003777891978,0.00180012225636323,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.Vm_low_temp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.coarse_root_respiration_Q10",0.0832315140488208,0.00475426600776726,0.077537934372901,0.00442904313245272,0.0861341606518925,0.00492006803882789,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.dVPDSlope",-0.0147966326000422,0.000150256638447013,-0.0153126558376853,0.000139978102094399,-0.0137844461991768,0.000155496744026751,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.dVpdExp",0.0197671200477282,0.000268160426252852,0.0184149198115389,0.000249816500033948,0.0204564859028945,0.00027751235213377,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.extinction_coefficient",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.fine_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.fracLeafFall",-0.0187336523605856,0.000240853411025033,-0.0193869766814153,0.000224377463163701,-0.0174521480703547,0.000249253021957738,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.growth_resp_factor",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.half_saturation_PAR",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.leafC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.leafGrowth",0.888835069078342,0.542188435954027,0.828032939712044,0.505099202449806,0.919832632001899,0.561096915991091,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.leaf_respiration_rate_m2",0.783773144996175,0.421588392838756,0.730157938065487,0.3927489906904,0.811106739523454,0.436291022369802,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.leaf_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.psnTOpt",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.root_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.root_turnover_rate",-0.00507073563603318,1.76461442828283e-05,-0.00524757434595228,1.64390326545558e-05,-0.00472386416926704,1.82615424447531e-05,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.stem_respiration_rate",-0.0976581396991452,0.00654522803479058,-0.101063905780653,0.00609749164865101,-0.090977684516592,0.00677348873794649,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","grass.veg_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","ic_ensemble",-0.0619971250625567,0.00263785542611549,-0.0641592357308486,0.00245740887033932,-0.0577561164102981,0.00272984897182364,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","met_ensemble",0.122417619526562,0.0102847975675829,0.114043454062,0.00958125017846064,0.126686856864555,0.0106434734016584,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.Amax",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.AmaxFrac",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.GDD",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.SLA",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.Vm_low_temp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.coarse_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.dVPDSlope",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.dVpdExp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.extinction_coefficient",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.fine_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.fracLeafFall",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.growth_resp_factor",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.half_saturation_PAR",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.leafC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.leafGrowth",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.leafWHC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.leaf_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.leaf_respiration_rate_m2",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.leaf_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.psnTOpt",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.root_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.root_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.root_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.stem_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.veg_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.wood_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.wood_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","NPP","temperate.deciduous.wueConst",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","dummy",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.Amax",-1.05313446737528,0.000138251351905457,-1.57339430789775,-3.84120756049495e-06,0.0292605317962177,0.000206549018084413,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.AmaxFrac",-1.63952583781543,0.00033507209711283,-2.44946937051568,-9.30972070074842e-06,0.0455529653565352,0.000500601344524055,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.GDD",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.SLA",-5.07590138702996,0.00321164907636147,-7.58345168372248,-8.92332012942098e-05,0.141030018986865,0.00479823852722838,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.Vm_low_temp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.coarse_root_respiration_Q10",-0.0800740993363864,7.99255913573139e-07,-0.119631572233989,-2.22067112955751e-08,0.00222479730962116,1.19409699703758e-06,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.dVPDSlope",4.54186490222386,0.0025714030651975,-0.126192225686873,-7.14444579310233e-05,6.78559538765253,0.00384170404770436,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.dVpdExp",3.9925508040373,0.00198702181672748,-0.110929955640622,-5.52078740647791e-05,5.96491417161678,0.00296863212909506,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.extinction_coefficient",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.fine_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.fracLeafFall",2.50098725885502,0.000779694896914112,-0.0694880088694179,-2.16632234811988e-05,3.73650206987771,0.00116487262615101,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.growth_resp_factor",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.half_saturation_PAR",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.leafC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.leafGrowth",4.35121303193132,0.0023600566423299,-0.12089510999508,-6.55723600005975e-05,6.50075942719256,0.00352595020141424,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.leaf_respiration_rate_m2",-0.568084652390919,4.02279448442235e-05,-0.848724627448202,-1.11770253056531e-06,0.0157837954688312,6.01009855788637e-05,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.leaf_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.psnTOpt",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.root_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.root_turnover_rate",0.00390426118488936,1.90011313248456e-09,-0.000108476896427021,-5.27931830662074e-11,0.00583300852374632,2.83878961293899e-09,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.stem_respiration_rate",0.442975056393057,2.44602154179672e-05,-0.0123077214962159,-6.79608286645058e-07,0.661809535117189,3.65438269288629e-05,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","grass.veg_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","ic_ensemble",0.193541199689326,4.66926573284364e-06,-0.00537739348850849,-1.29731959852548e-07,0.289152649892689,6.9759336093406e-06,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","met_ensemble",-85.2809049893337,0.906578330361758,-127.410596309704,-0.0251885821640855,2.3694644030309,1.35443785085646,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.Amax",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.AmaxFrac",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.GDD",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.SLA",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.Vm_low_temp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.coarse_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.dVPDSlope",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.dVpdExp",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.extinction_coefficient",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.fine_root_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.fracLeafFall",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.growth_resp_factor",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.half_saturation_PAR",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.leafC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.leafGrowth",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.leafWHC",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.leaf_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.leaf_respiration_rate_m2",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.leaf_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.psnTOpt",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.root_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.root_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.root_turnover_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.stem_respiration_rate",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.veg_respiration_Q10",0,0,0,0,0,0,NA,NA,NA,NA
"0457344866426f5e200dc92fc2b1e303","Qle","temperate.deciduous.wood_allocation_fraction",0,0,0,0,0,0,NA,NA,NA,NA
