variable,category,mean_frac,median_frac,sd_frac,n_sites
AbvGrndWood,parameter,0.23625436732351365,-0.0178985559176554,1.0949305651743841,10
AbvGrndWood,IC,0.22516665368243238,-0.07158801344426088,1.6680727406583664,10
AbvGrndWood,driver,0.009387301304672498,4.8037228679538895e-5,0.04332587668631065,10
AbvGrndWood,dummy,0,0,0,10
NPP,parameter,3.2407472305822433,3.543527075619333,1.358198934994976,10
NPP,driver,0.023282427628782194,-0.008448822884406331,0.073965020165907,10
NPP,dummy,0,0,0,10
NPP,IC,-1.0100903495686524,-0.02602992576263425,2.701501673544567,10
Qle,parameter,115.94524370734186,42.260068811590706,168.2017683238365,10
Qle,dummy,0,0,0,10
Qle,IC,-2.0188020302868432,-0.5088507440646465,26.331045524621747,10
Qle,driver,-64.2046683412532,-23.86459465277905,319.6108523033096,10
SoilMoistFrac,driver,76.37321974134979,1.948181590198795,193.24229992575502,10
SoilMoistFrac,dummy,0,0,0,10
SoilMoistFrac,IC,-5.6229656960558225,-0.0871555598676141,9.361390898411985,10
SoilMoistFrac,parameter,-15.780201413734464,-36.2568681024649,349.00846293863873,10
TotSoilCarb,parameter,1.0674972267725698,0.38137838287449477,1.9832357141934254,10
TotSoilCarb,driver,0.021721154364512416,-1.3206615232418134e-5,0.04365999189546189,10
TotSoilCarb,dummy,0,0,0,10
TotSoilCarb,IC,-0.8699512001729784,-0.093585430728426,4.157997836421544,10
