event_id,site_id,treatment_id,study_year,calendar_year,event_type,crop_or_material,approx_month,approx_doy,exact_date_known,amount,amount_unit,amount_basis,notes
# PRE-STUDY ESTABLISHMENT (2003) - all systems
est_001,white_salinas_usda,sys1_control,0,2003,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Pre-study establishment; all systems received legume-rye
est_002,white_salinas_usda,sys2_quad_compost,0,2003,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Pre-study establishment; all systems received legume-rye
est_003,white_salinas_usda,sys3_annual_legumerye,0,2003,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Pre-study establishment; all systems received legume-rye
est_004,white_salinas_usda,sys4_annual_mustard,0,2003,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Pre-study establishment; mustard used from Year 1 onward
est_005,white_salinas_usda,sys5_annual_rye,0,2003,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Pre-study establishment; cereal rye used from Year 1 onward
est_006,white_salinas_usda,sys1_control,0,2003,compost_application,urban_yard_waste_compost,October,288,FALSE,22,Mg/ha,wet weight,One-time pre-study compost at 22 Mg/ha wet; higher than annual rate
est_007,white_salinas_usda,sys2_quad_compost,0,2003,compost_application,urban_yard_waste_compost,October,288,FALSE,22,Mg/ha,wet weight,One-time pre-study compost at 22 Mg/ha wet; higher than annual rate
est_008,white_salinas_usda,sys3_annual_legumerye,0,2003,compost_application,urban_yard_waste_compost,October,288,FALSE,22,Mg/ha,wet weight,One-time pre-study compost at 22 Mg/ha wet; higher than annual rate
est_009,white_salinas_usda,sys4_annual_mustard,0,2003,compost_application,urban_yard_waste_compost,October,288,FALSE,22,Mg/ha,wet weight,One-time pre-study compost at 22 Mg/ha wet; higher than annual rate
est_010,white_salinas_usda,sys5_annual_rye,0,2003,compost_application,urban_yard_waste_compost,October,288,FALSE,22,Mg/ha,wet weight,One-time pre-study compost at 22 Mg/ha wet; higher than annual rate
est_011,white_salinas_usda,sys1_control,0,2003,amendment_application,gypsum,October,288,FALSE,12.3,Mg/ha,dry weight,One-time pre-study gypsum; all systems
est_012,white_salinas_usda,sys2_quad_compost,0,2003,amendment_application,gypsum,October,288,FALSE,12.3,Mg/ha,dry weight,One-time pre-study gypsum; all systems
est_013,white_salinas_usda,sys3_annual_legumerye,0,2003,amendment_application,gypsum,October,288,FALSE,12.3,Mg/ha,dry weight,One-time pre-study gypsum; all systems
est_014,white_salinas_usda,sys4_annual_mustard,0,2003,amendment_application,gypsum,October,288,FALSE,12.3,Mg/ha,dry weight,One-time pre-study gypsum; all systems
est_015,white_salinas_usda,sys5_annual_rye,0,2003,amendment_application,gypsum,October,288,FALSE,12.3,Mg/ha,dry weight,One-time pre-study gypsum; all systems
# YEAR 1 (cover crop planted fall 2003 pre-study; veg season 2004)
# Cover crop incorporation - all systems had cover crop in pre-study
ev_y1_001,white_salinas_usda,sys1_control,1,2004,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated; 30-42 day decomposition before transplanting
ev_y1_002,white_salinas_usda,sys2_quad_compost,1,2004,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated; 30-42 day decomposition before transplanting
ev_y1_003,white_salinas_usda,sys3_annual_legumerye,1,2004,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated; 30-42 day decomposition before transplanting
ev_y1_004,white_salinas_usda,sys4_annual_mustard,1,2004,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated; 30-42 day decomposition before transplanting
ev_y1_005,white_salinas_usda,sys5_annual_rye,1,2004,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated; 30-42 day decomposition before transplanting
ev_y1_006,white_salinas_usda,sys2_quad_compost,1,2004,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,"Before lettuce; N=15g/kg, C:N=22"
ev_y1_007,white_salinas_usda,sys3_annual_legumerye,1,2004,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,"Before lettuce; N=15g/kg, C:N=22"
ev_y1_008,white_salinas_usda,sys4_annual_mustard,1,2004,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,"Before lettuce; N=15g/kg, C:N=22"
ev_y1_009,white_salinas_usda,sys5_annual_rye,1,2004,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,"Before lettuce; N=15g/kg, C:N=22"
ev_y1_010,white_salinas_usda,sys1_control,1,2004,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y1_011,white_salinas_usda,sys2_quad_compost,1,2004,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y1_012,white_salinas_usda,sys3_annual_legumerye,1,2004,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
