"id","site","treatment","site_id","lat","lon","veg_pft","soil_pft","run_start","run_end","met_src","ic_src","events_src"
"modesto.modesto","modesto","modesto","9cb08ca2174bede7",37.6273,-121.0893,"temperate.deciduous_almond","soil","2018-01-01","2019-12-31","met/37.5N_121W","IC/modesto/9cb08ca2174bede7","events/modesto/modesto"
"russell.alf_corn_tomato","russell","alf_corn_tomato","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/alf_corn_tomato"
"russell.conv_corn_tomato","russell","conv_corn_tomato","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/conv_corn_tomato"
"russell.conv_wheat_tomato","russell","conv_wheat_tomato","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/conv_wheat_tomato"
"russell.irr_wheat_control","russell","irr_wheat_control","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/irr_wheat_control"
"russell.irr_wheat_fallow","russell","irr_wheat_fallow","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/irr_wheat_fallow"
"russell.irr_wheat_legume","russell","irr_wheat_legume","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/irr_wheat_legume"
"russell.leg_corn_tomato","russell","leg_corn_tomato","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/leg_corn_tomato"
"russell.org_corn_tomato","russell","org_corn_tomato","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/org_corn_tomato"
"russell.rf_wheat_control","russell","rf_wheat_control","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/rf_wheat_control"
"russell.rf_wheat_fallow","russell","rf_wheat_fallow","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/rf_wheat_fallow"
"russell.rf_wheat_legume","russell","rf_wheat_legume","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/rf_wheat_legume"
"russell.transitional","russell","transitional","ec0e8b4d92044f52",38.54295,-121.87235,"annual_crop_row","soil","1992-01-01","2014-12-31","met/38.5N_122W","IC/russell/ec0e8b4d92044f52","events/russell/transitional"
"salinas.socs_sys1","salinas","socs_sys1","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys1"
"salinas.socs_sys2","salinas","socs_sys2","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys2"
"salinas.socs_sys3","salinas","socs_sys3","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys3"
"salinas.socs_sys4","salinas","socs_sys4","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys4"
"salinas.socs_sys5","salinas","socs_sys5","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys5"
"salinas.socs_sys6","salinas","socs_sys6","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys6"
"salinas.socs_sys7","salinas","socs_sys7","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys7"
"salinas.socs_sys8","salinas","socs_sys8","9f296becf416ce87",36.62,-121.53,"annual_crop_row","soil","2005-01-01","2011-12-31","met/36.5N_121.5W","IC/salinas/9f296becf416ce87","events/salinas/socs_sys8"
"us-bi1.us-bi1","us-bi1","us-bi1","US-Bi1",38.0992,-121.499,"annual_crop_alfalfa","soil_nfixer","2017-01-01","2023-12-31","met/38N_121.5W","IC/us-bi1/US-Bi1","events/us-bi1/us-bi1"
"us-bi2.us-bi2","us-bi2","us-bi2","US-Bi2",38.1091,-121.5351,"annual_crop_corn","soil","2017-01-01","2023-12-31","met/38N_121.5W","IC/us-bi2/US-Bi2","events/us-bi2/us-bi2"
"us-twt.us-twt","us-twt","us-twt","US-Twt",38.1087,-121.653,"annual_crop_rice","soil_rice","2017-01-01","2023-12-31","met/38N_121.5W","IC/us-twt/US-Twt","events/us-twt/us-twt"
"us-twt-2010.us-twt-2010","us-twt-2010","us-twt-2010","US-Twt",38.1087,-121.653,"annual_crop_rice","soil_rice","2010-01-01","2016-12-31","met/38N_121.5W","IC/us-twt-2010/US-Twt","events/us-twt-2010/us-twt-2010"
